Comunidad autónoma de residencia;Tipo de hogar (reducida);Gastos totales, medios, distribución e índice;Periodo;Total
09 Cataluña;Total;Gasto medio por unidad de consumo;2019;19.832,66
09 Cataluña;Total;Gasto medio por unidad de consumo;2018;19.626,30
09 Cataluña;Total;Gasto medio por unidad de consumo;2017;19.027,68
09 Cataluña;Total;Gasto medio por unidad de consumo;2016;18.296,69
09 Cataluña;Total;Gasto medio por unidad de consumo;2015;18.114,74
09 Cataluña;Total;Gasto medio por unidad de consumo;2014;17.840,74
09 Cataluña;Total;Gasto medio por unidad de consumo;2013;17.482,97
09 Cataluña;Total;Gasto medio por unidad de consumo;2012;17.766,80
09 Cataluña;Total;Gasto medio por unidad de consumo;2011;18.511,74
09 Cataluña;Total;Gasto medio por unidad de consumo;2010;18.463,70
09 Cataluña;Total;Gasto medio por unidad de consumo;2009;19.349,71
09 Cataluña;Total;Gasto medio por unidad de consumo;2008;19.987,69
09 Cataluña;Total;Gasto medio por unidad de consumo;2007;19.483,05
09 Cataluña;Total;Gasto medio por unidad de consumo;2006;18.994,29
09 Cataluña;Total;Índice sobre la media del gmp;2019;100,00
09 Cataluña;Total;Índice sobre la media del gmp;2018;100,00
09 Cataluña;Total;Índice sobre la media del gmp;2017;100,00
09 Cataluña;Total;Índice sobre la media del gmp;2016;100,00
09 Cataluña;Total;Índice sobre la media del gmp;2015;100,00
09 Cataluña;Total;Índice sobre la media del gmp;2014;100,00
09 Cataluña;Total;Índice sobre la media del gmp;2013;100,00
09 Cataluña;Total;Índice sobre la media del gmp;2012;100,00
09 Cataluña;Total;Índice sobre la media del gmp;2011;100,00
09 Cataluña;Total;Índice sobre la media del gmp;2010;100,00
09 Cataluña;Total;Índice sobre la media del gmp;2009;100,00
09 Cataluña;Total;Índice sobre la media del gmp;2008;100,00
09 Cataluña;Total;Índice sobre la media del gmp;2007;100,00
09 Cataluña;Total;Índice sobre la media del gmp;2006;100,00
09 Cataluña;Persona o pareja de 65 o más años;Gasto total;2019;18.934.598,26
09 Cataluña;Persona o pareja de 65 o más años;Gasto total;2018;19.996.394,41
09 Cataluña;Persona o pareja de 65 o más años;Gasto total;2017;18.004.187,09
09 Cataluña;Persona o pareja de 65 o más años;Gasto total;2016;16.716.925,26
09 Cataluña;Persona o pareja de 65 o más años;Gasto total;2015;16.735.821,99
09 Cataluña;Persona o pareja de 65 o más años;Gasto total;2014;15.788.400,75
09 Cataluña;Persona o pareja de 65 o más años;Gasto total;2013;13.969.947,79
09 Cataluña;Persona o pareja de 65 o más años;Gasto total;2012;13.458.803,37
09 Cataluña;Persona o pareja de 65 o más años;Gasto total;2011;13.036.118,79
09 Cataluña;Persona o pareja de 65 o más años;Gasto total;2010;11.857.001,39
09 Cataluña;Persona o pareja de 65 o más años;Gasto total;2009;12.233.415,38
09 Cataluña;Persona o pareja de 65 o más años;Gasto total;2008;12.341.911,61
09 Cataluña;Persona o pareja de 65 o más años;Gasto total;2007;11.180.718,98
09 Cataluña;Persona o pareja de 65 o más años;Gasto total;2006;9.027.143,15
09 Cataluña;Persona o pareja de 65 o más años;Distribución porcentual;2019;18,75
09 Cataluña;Persona o pareja de 65 o más años;Distribución porcentual;2018;20,22
09 Cataluña;Persona o pareja de 65 o más años;Distribución porcentual;2017;19,02
09 Cataluña;Persona o pareja de 65 o más años;Distribución porcentual;2016;18,50
09 Cataluña;Persona o pareja de 65 o más años;Distribución porcentual;2015;18,77
09 Cataluña;Persona o pareja de 65 o más años;Distribución porcentual;2014;17,97
09 Cataluña;Persona o pareja de 65 o más años;Distribución porcentual;2013;16,16
09 Cataluña;Persona o pareja de 65 o más años;Distribución porcentual;2012;15,26
09 Cataluña;Persona o pareja de 65 o más años;Distribución porcentual;2011;14,20
09 Cataluña;Persona o pareja de 65 o más años;Distribución porcentual;2010;13,01
09 Cataluña;Persona o pareja de 65 o más años;Distribución porcentual;2009;12,88
09 Cataluña;Persona o pareja de 65 o más años;Distribución porcentual;2008;12,72
09 Cataluña;Persona o pareja de 65 o más años;Distribución porcentual;2007;12,06
09 Cataluña;Persona o pareja de 65 o más años;Distribución porcentual;2006;10,21
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;27.480,54
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;27.798,55
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;25.835,52
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;25.008,69
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2015;25.477,78
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2014;24.584,78
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2013;23.315,54
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2012;24.634,20
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2011;23.268,62
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2010;21.509,75
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2009;22.720,20
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2008;22.756,38
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2007;20.608,93
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por hogar;2006;17.893,76
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por persona;2019;18.393,96
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por persona;2018;18.754,27
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por persona;2017;17.227,64
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por persona;2016;16.445,95
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por persona;2015;16.881,90
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por persona;2014;16.349,98
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por persona;2013;15.424,23
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por persona;2012;16.022,00
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por persona;2011;15.308,17
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por persona;2010;14.330,70
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por persona;2009;15.184,78
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por persona;2008;15.562,13
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por persona;2007;14.200,53
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por persona;2006;12.271,84
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2019;22.037,34
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2018;22.397,84
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2017;20.671,27
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2016;19.842,97
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2015;20.307,68
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2014;19.639,09
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2013;18.566,15
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2012;19.415,94
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2011;18.467,06
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2010;17.201,22
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2009;18.203,48
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2008;18.483,90
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2007;16.814,83
09 Cataluña;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2006;14.558,93
09 Cataluña;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2019;137,12
09 Cataluña;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2018;141,33
09 Cataluña;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2017;134,25
09 Cataluña;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2016;133,61
09 Cataluña;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2015;138,54
09 Cataluña;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2014;136,35
09 Cataluña;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2013;131,48
09 Cataluña;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2012;134,81
09 Cataluña;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2011;123,90
09 Cataluña;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2010;116,43
09 Cataluña;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2009;117,92
09 Cataluña;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2008;117,23
09 Cataluña;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2007;109,83
09 Cataluña;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2006;97,44
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto total;2019;23.618.333,80
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto total;2018;21.721.144,33
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto total;2017;21.130.033,19
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto total;2016;21.376.937,94
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto total;2015;20.817.961,91
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto total;2014;21.078.002,83
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto total;2013;20.517.598,91
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto total;2012;21.169.566,69
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto total;2011;23.444.410,93
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto total;2010;22.244.504,89
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto total;2009;22.437.157,17
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto total;2008;22.824.551,14
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto total;2007;20.416.761,20
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto total;2006;21.558.963,16
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2019;23,39
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2018;21,97
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2017;22,32
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2016;23,66
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2015;23,35
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2014;24,00
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2013;23,73
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2012;24,00
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2011;25,53
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2010;24,40
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2009;23,62
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2008;23,53
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2007;22,02
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2006;24,39
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;28.422,85
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;27.013,87
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;26.178,26
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;25.771,20
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2015;26.004,21
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2014;26.481,90
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2013;24.665,37
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2012;25.069,49
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2011;28.488,97
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2010;27.577,13
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2009;28.515,33
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2008;29.697,88
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2007;29.917,47
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2006;30.622,90
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2019;20.009,21
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2018;18.408,93
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2017;17.728,59
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2016;17.433,60
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2015;17.637,69
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2014;17.863,49
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2013;16.544,15
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2012;16.987,12
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2011;18.913,88
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2010;18.106,66
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2009;18.693,28
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2008;19.017,93
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2007;19.380,29
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2006;19.731,50
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2019;23.485,22
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2018;21.896,34
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2017;21.140,37
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2016;20.797,91
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2015;21.018,98
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2014;21.335,21
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2013;19.804,53
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2012;20.251,68
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2011;22.734,37
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2010;21.860,25
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2009;22.582,54
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2008;23.187,22
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2007;23.522,74
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2006;23.999,32
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2019;149,16
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2018;138,72
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2017;138,15
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2016;141,64
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2015;144,74
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2014;148,97
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2013;141,03
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2012;142,93
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2011;153,08
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2010;147,11
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2009;145,17
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2008;143,27
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2007;149,90
09 Cataluña;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2006;156,67
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2019;20.607.853,81
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2018;21.567.427,65
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2017;20.020.587,55
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2016;19.521.226,23
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2015;18.442.732,71
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2014;17.394.179,75
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2013;18.045.420,41
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2012;19.083.016,78
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2011;20.266.184,50
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2010;20.143.895,34
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2009;19.758.607,92
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2008;19.431.797,25
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2007;19.346.862,06
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2006;17.674.217,70
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2019;20,41
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2018;21,81
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2017;21,15
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2016;21,61
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2015;20,68
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2014;19,80
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2013;20,87
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2012;21,64
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2011;22,07
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2010;22,10
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2009;20,80
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2008;20,03
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2007;20,87
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Distribución porcentual;2006;19,99
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;38.323,71
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;38.444,95
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;36.827,45
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;35.313,08
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2015;33.680,07
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2014;31.340,44
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2013;31.789,50
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2012;33.774,91
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2011;36.426,96
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2010;37.381,07
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2009;38.016,60
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2008;40.351,46
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2007;40.457,42
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2006;41.160,15
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2019;10.873,19
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2018;11.048,92
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2017;10.425,98
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2016;9.953,27
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2015;9.408,03
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2014;8.883,56
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2013;9.044,66
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2012;9.570,90
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2011;10.358,16
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2010;10.733,01
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2009;10.917,41
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2008;11.254,52
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2007;11.348,17
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por persona;2006;11.181,18
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2019;19.540,50
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2018;19.679,22
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2017;18.751,16
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2016;17.930,98
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2015;16.996,79
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2014;15.936,18
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2013;16.223,57
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2012;17.212,93
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2011;18.557,00
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2010;19.141,45
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2009;19.469,15
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2008;20.351,99
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2007;20.487,55
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por unidad de consumo;2006;20.442,72
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2019;81,06
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2018;83,26
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2017;81,25
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2016;80,86
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2015;77,21
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2014;74,08
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2013;77,10
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2012;80,53
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2011;83,83
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2010;87,20
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2009;84,78
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2008;84,78
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2007;87,77
09 Cataluña;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Índice sobre la media del gmp;2006;88,78
09 Cataluña;Otros hogares;Gasto total;2019;37.809.076,40
09 Cataluña;Otros hogares;Gasto total;2018;35.585.729,21
09 Cataluña;Otros hogares;Gasto total;2017;35.492.790,17
09 Cataluña;Otros hogares;Gasto total;2016;32.728.994,61
09 Cataluña;Otros hogares;Gasto total;2015;33.168.252,20
09 Cataluña;Otros hogares;Gasto total;2014;33.574.787,74
09 Cataluña;Otros hogares;Gasto total;2013;33.940.449,98
09 Cataluña;Otros hogares;Gasto total;2012;34.490.171,80
09 Cataluña;Otros hogares;Gasto total;2011;35.075.088,05
09 Cataluña;Otros hogares;Gasto total;2010;36.918.337,49
