Comunidad autónoma de residencia;Tamaño del hogar (reducida);Gastos totales, medios, distribución e índice;Periodo;Total
11 Extremadura;4 y más;Índice sobre la media del gmp;2012;79,43
11 Extremadura;4 y más;Índice sobre la media del gmp;2011;79,58
11 Extremadura;4 y más;Índice sobre la media del gmp;2010;81,42
11 Extremadura;4 y más;Índice sobre la media del gmp;2009;82,84
11 Extremadura;4 y más;Índice sobre la media del gmp;2008;83,29
11 Extremadura;4 y más;Índice sobre la media del gmp;2007;88,57
11 Extremadura;4 y más;Índice sobre la media del gmp;2006;85,38
12 Galicia;Total;Gasto total;2019;29.408.896,71
12 Galicia;Total;Gasto total;2018;29.770.816,51
12 Galicia;Total;Gasto total;2017;29.380.900,44
12 Galicia;Total;Gasto total;2016;28.588.407,51
12 Galicia;Total;Gasto total;2015;28.598.226,39
12 Galicia;Total;Gasto total;2014;27.961.426,68
12 Galicia;Total;Gasto total;2013;27.983.969,36
12 Galicia;Total;Gasto total;2012;28.940.044,34
12 Galicia;Total;Gasto total;2011;29.697.301,98
12 Galicia;Total;Gasto total;2010;29.379.221,00
12 Galicia;Total;Gasto total;2009;29.746.839,86
12 Galicia;Total;Gasto total;2008;30.296.347,29
12 Galicia;Total;Gasto total;2007;28.584.060,56
12 Galicia;Total;Gasto total;2006;27.407.503,45
12 Galicia;Total;Distribución porcentual;2019;100,00
12 Galicia;Total;Distribución porcentual;2018;100,00
12 Galicia;Total;Distribución porcentual;2017;100,00
12 Galicia;Total;Distribución porcentual;2016;100,00
12 Galicia;Total;Distribución porcentual;2015;100,00
12 Galicia;Total;Distribución porcentual;2014;100,00
12 Galicia;Total;Distribución porcentual;2013;100,00
12 Galicia;Total;Distribución porcentual;2012;100,00
12 Galicia;Total;Distribución porcentual;2011;100,00
12 Galicia;Total;Distribución porcentual;2010;100,00
12 Galicia;Total;Distribución porcentual;2009;100,00
12 Galicia;Total;Distribución porcentual;2008;100,00
12 Galicia;Total;Distribución porcentual;2007;100,00
12 Galicia;Total;Distribución porcentual;2006;100,00
12 Galicia;Total;Gasto medio por hogar;2019;26.846,48
12 Galicia;Total;Gasto medio por hogar;2018;27.256,92
12 Galicia;Total;Gasto medio por hogar;2017;26.962,72
12 Galicia;Total;Gasto medio por hogar;2016;26.291,11
12 Galicia;Total;Gasto medio por hogar;2015;26.433,15
12 Galicia;Total;Gasto medio por hogar;2014;25.972,41
12 Galicia;Total;Gasto medio por hogar;2013;26.140,36
12 Galicia;Total;Gasto medio por hogar;2012;27.258,05
12 Galicia;Total;Gasto medio por hogar;2011;28.255,87
12 Galicia;Total;Gasto medio por hogar;2010;28.294,92
12 Galicia;Total;Gasto medio por hogar;2009;29.034,39
12 Galicia;Total;Gasto medio por hogar;2008;30.040,25
12 Galicia;Total;Gasto medio por hogar;2007;28.834,24
12 Galicia;Total;Gasto medio por hogar;2006;28.135,03
12 Galicia;Total;Gasto medio por persona;2019;10.986,62
12 Galicia;Total;Gasto medio por persona;2018;11.118,64
12 Galicia;Total;Gasto medio por persona;2017;10.937,72
12 Galicia;Total;Gasto medio por persona;2016;10.605,80
12 Galicia;Total;Gasto medio por persona;2015;10.570,19
12 Galicia;Total;Gasto medio por persona;2014;10.291,26
12 Galicia;Total;Gasto medio por persona;2013;10.244,11
12 Galicia;Total;Gasto medio por persona;2012;10.545,91
12 Galicia;Total;Gasto medio por persona;2011;10.797,11
12 Galicia;Total;Gasto medio por persona;2010;10.678,64
12 Galicia;Total;Gasto medio por persona;2009;10.819,74
12 Galicia;Total;Gasto medio por persona;2008;11.053,53
12 Galicia;Total;Gasto medio por persona;2007;10.475,82
12 Galicia;Total;Gasto medio por persona;2006;10.090,52
12 Galicia;Total;Gasto medio por unidad de consumo;2019;16.074,52
12 Galicia;Total;Gasto medio por unidad de consumo;2018;16.293,28
12 Galicia;Total;Gasto medio por unidad de consumo;2017;16.042,70
12 Galicia;Total;Gasto medio por unidad de consumo;2016;15.585,64
12 Galicia;Total;Gasto medio por unidad de consumo;2015;15.579,14
12 Galicia;Total;Gasto medio por unidad de consumo;2014;15.201,97
12 Galicia;Total;Gasto medio por unidad de consumo;2013;15.185,08
12 Galicia;Total;Gasto medio por unidad de consumo;2012;15.700,64
12 Galicia;Total;Gasto medio por unidad de consumo;2011;16.120,24
12 Galicia;Total;Gasto medio por unidad de consumo;2010;15.990,71
12 Galicia;Total;Gasto medio por unidad de consumo;2009;16.252,09
12 Galicia;Total;Gasto medio por unidad de consumo;2008;16.655,47
12 Galicia;Total;Gasto medio por unidad de consumo;2007;15.833,51
12 Galicia;Total;Gasto medio por unidad de consumo;2006;15.302,44
12 Galicia;Total;Índice sobre la media del gmp;2019;100,00
12 Galicia;Total;Índice sobre la media del gmp;2018;100,00
12 Galicia;Total;Índice sobre la media del gmp;2017;100,00
12 Galicia;Total;Índice sobre la media del gmp;2016;100,00
12 Galicia;Total;Índice sobre la media del gmp;2015;100,00
12 Galicia;Total;Índice sobre la media del gmp;2014;100,00
12 Galicia;Total;Índice sobre la media del gmp;2013;100,00
12 Galicia;Total;Índice sobre la media del gmp;2012;100,00
12 Galicia;Total;Índice sobre la media del gmp;2011;100,00
12 Galicia;Total;Índice sobre la media del gmp;2010;100,00
12 Galicia;Total;Índice sobre la media del gmp;2009;100,00
12 Galicia;Total;Índice sobre la media del gmp;2008;100,00
12 Galicia;Total;Índice sobre la media del gmp;2007;100,00
12 Galicia;Total;Índice sobre la media del gmp;2006;100,00
12 Galicia;1 miembro;Gasto total;2019;4.849.579,89
12 Galicia;1 miembro;Gasto total;2018;4.690.971,85
12 Galicia;1 miembro;Gasto total;2017;4.544.957,41
12 Galicia;1 miembro;Gasto total;2016;4.439.807,02
12 Galicia;1 miembro;Gasto total;2015;4.041.560,57
12 Galicia;1 miembro;Gasto total;2014;4.000.921,65
12 Galicia;1 miembro;Gasto total;2013;4.254.945,40
12 Galicia;1 miembro;Gasto total;2012;3.993.587,72
12 Galicia;1 miembro;Gasto total;2011;3.568.723,27
12 Galicia;1 miembro;Gasto total;2010;3.382.803,70
12 Galicia;1 miembro;Gasto total;2009;3.439.964,32
12 Galicia;1 miembro;Gasto total;2008;3.676.750,73
12 Galicia;1 miembro;Gasto total;2007;3.174.129,25
12 Galicia;1 miembro;Gasto total;2006;2.711.384,52
12 Galicia;1 miembro;Distribución porcentual;2019;16,49
12 Galicia;1 miembro;Distribución porcentual;2018;15,76
12 Galicia;1 miembro;Distribución porcentual;2017;15,47
12 Galicia;1 miembro;Distribución porcentual;2016;15,53
12 Galicia;1 miembro;Distribución porcentual;2015;14,13
12 Galicia;1 miembro;Distribución porcentual;2014;14,31
12 Galicia;1 miembro;Distribución porcentual;2013;15,20
12 Galicia;1 miembro;Distribución porcentual;2012;13,80
12 Galicia;1 miembro;Distribución porcentual;2011;12,02
12 Galicia;1 miembro;Distribución porcentual;2010;11,51
12 Galicia;1 miembro;Distribución porcentual;2009;11,56
12 Galicia;1 miembro;Distribución porcentual;2008;12,14
12 Galicia;1 miembro;Distribución porcentual;2007;11,10
12 Galicia;1 miembro;Distribución porcentual;2006;9,89
12 Galicia;1 miembro;Gasto medio por hogar;2019;16.818,74
12 Galicia;1 miembro;Gasto medio por hogar;2018;16.330,83
12 Galicia;1 miembro;Gasto medio por hogar;2017;16.220,82
12 Galicia;1 miembro;Gasto medio por hogar;2016;16.016,49
12 Galicia;1 miembro;Gasto medio por hogar;2015;14.934,28
12 Galicia;1 miembro;Gasto medio por hogar;2014;15.429,31
12 Galicia;1 miembro;Gasto medio por hogar;2013;16.969,08
12 Galicia;1 miembro;Gasto medio por hogar;2012;16.542,49
12 Galicia;1 miembro;Gasto medio por hogar;2011;15.304,80
12 Galicia;1 miembro;Gasto medio por hogar;2010;14.836,94
12 Galicia;1 miembro;Gasto medio por hogar;2009;15.455,48
12 Galicia;1 miembro;Gasto medio por hogar;2008;16.961,82
12 Galicia;1 miembro;Gasto medio por hogar;2007;15.058,36
12 Galicia;1 miembro;Gasto medio por hogar;2006;13.235,81
12 Galicia;1 miembro;Gasto medio por persona;2019;16.818,74
12 Galicia;1 miembro;Gasto medio por persona;2018;16.330,83
12 Galicia;1 miembro;Gasto medio por persona;2017;16.220,82
12 Galicia;1 miembro;Gasto medio por persona;2016;16.016,49
12 Galicia;1 miembro;Gasto medio por persona;2015;14.934,28
12 Galicia;1 miembro;Gasto medio por persona;2014;15.429,31
12 Galicia;1 miembro;Gasto medio por persona;2013;16.969,08
12 Galicia;1 miembro;Gasto medio por persona;2012;16.542,49
12 Galicia;1 miembro;Gasto medio por persona;2011;15.304,80
12 Galicia;1 miembro;Gasto medio por persona;2010;14.836,94
12 Galicia;1 miembro;Gasto medio por persona;2009;15.455,48
12 Galicia;1 miembro;Gasto medio por persona;2008;16.961,82
12 Galicia;1 miembro;Gasto medio por persona;2007;15.058,36
12 Galicia;1 miembro;Gasto medio por persona;2006;13.235,81
12 Galicia;1 miembro;Gasto medio por unidad de consumo;2019;16.818,74
12 Galicia;1 miembro;Gasto medio por unidad de consumo;2018;16.330,83
12 Galicia;1 miembro;Gasto medio por unidad de consumo;2017;16.220,82
12 Galicia;1 miembro;Gasto medio por unidad de consumo;2016;16.016,49
12 Galicia;1 miembro;Gasto medio por unidad de consumo;2015;14.934,28
12 Galicia;1 miembro;Gasto medio por unidad de consumo;2014;15.429,31
12 Galicia;1 miembro;Gasto medio por unidad de consumo;2013;16.969,08
12 Galicia;1 miembro;Gasto medio por unidad de consumo;2012;16.542,49
12 Galicia;1 miembro;Gasto medio por unidad de consumo;2011;15.304,80
12 Galicia;1 miembro;Gasto medio por unidad de consumo;2010;14.836,94
12 Galicia;1 miembro;Gasto medio por unidad de consumo;2009;15.455,48
12 Galicia;1 miembro;Gasto medio por unidad de consumo;2008;16.961,82
12 Galicia;1 miembro;Gasto medio por unidad de consumo;2007;15.058,36
12 Galicia;1 miembro;Gasto medio por unidad de consumo;2006;13.235,81
12 Galicia;1 miembro;Índice sobre la media del gmp;2019;153,08
12 Galicia;1 miembro;Índice sobre la media del gmp;2018;146,88
12 Galicia;1 miembro;Índice sobre la media del gmp;2017;148,30
12 Galicia;1 miembro;Índice sobre la media del gmp;2016;151,02
12 Galicia;1 miembro;Índice sobre la media del gmp;2015;141,29
12 Galicia;1 miembro;Índice sobre la media del gmp;2014;149,93
12 Galicia;1 miembro;Índice sobre la media del gmp;2013;165,65
12 Galicia;1 miembro;Índice sobre la media del gmp;2012;156,86
12 Galicia;1 miembro;Índice sobre la media del gmp;2011;141,75
12 Galicia;1 miembro;Índice sobre la media del gmp;2010;138,94
12 Galicia;1 miembro;Índice sobre la media del gmp;2009;142,85
12 Galicia;1 miembro;Índice sobre la media del gmp;2008;153,45
12 Galicia;1 miembro;Índice sobre la media del gmp;2007;143,74
12 Galicia;1 miembro;Índice sobre la media del gmp;2006;131,17
12 Galicia;2 miembros;Gasto total;2019;8.786.449,75
12 Galicia;2 miembros;Gasto total;2018;8.484.927,89
12 Galicia;2 miembros;Gasto total;2017;8.792.181,04
12 Galicia;2 miembros;Gasto total;2016;8.167.422,60
12 Galicia;2 miembros;Gasto total;2015;8.145.389,44
12 Galicia;2 miembros;Gasto total;2014;8.306.091,46
12 Galicia;2 miembros;Gasto total;2013;7.788.832,63
12 Galicia;2 miembros;Gasto total;2012;7.643.899,40
12 Galicia;2 miembros;Gasto total;2011;7.976.895,56
12 Galicia;2 miembros;Gasto total;2010;7.596.737,02
12 Galicia;2 miembros;Gasto total;2009;7.445.240,05
12 Galicia;2 miembros;Gasto total;2008;7.163.540,70
12 Galicia;2 miembros;Gasto total;2007;6.842.109,69
12 Galicia;2 miembros;Gasto total;2006;6.232.370,76
12 Galicia;2 miembros;Distribución porcentual;2019;29,88
12 Galicia;2 miembros;Distribución porcentual;2018;28,50
12 Galicia;2 miembros;Distribución porcentual;2017;29,92
12 Galicia;2 miembros;Distribución porcentual;2016;28,57
12 Galicia;2 miembros;Distribución porcentual;2015;28,48
12 Galicia;2 miembros;Distribución porcentual;2014;29,71
12 Galicia;2 miembros;Distribución porcentual;2013;27,83
12 Galicia;2 miembros;Distribución porcentual;2012;26,41
12 Galicia;2 miembros;Distribución porcentual;2011;26,86
12 Galicia;2 miembros;Distribución porcentual;2010;25,86
12 Galicia;2 miembros;Distribución porcentual;2009;25,03
12 Galicia;2 miembros;Distribución porcentual;2008;23,64
12 Galicia;2 miembros;Distribución porcentual;2007;23,94
12 Galicia;2 miembros;Distribución porcentual;2006;22,74
12 Galicia;2 miembros;Gasto medio por hogar;2019;25.736,22
12 Galicia;2 miembros;Gasto medio por hogar;2018;25.145,20
12 Galicia;2 miembros;Gasto medio por hogar;2017;25.918,47
12 Galicia;2 miembros;Gasto medio por hogar;2016;24.307,23
12 Galicia;2 miembros;Gasto medio por hogar;2015;24.555,66
12 Galicia;2 miembros;Gasto medio por hogar;2014;24.885,97
12 Galicia;2 miembros;Gasto medio por hogar;2013;23.648,57
12 Galicia;2 miembros;Gasto medio por hogar;2012;23.739,91
12 Galicia;2 miembros;Gasto medio por hogar;2011;25.429,09
12 Galicia;2 miembros;Gasto medio por hogar;2010;25.031,69
12 Galicia;2 miembros;Gasto medio por hogar;2009;25.412,24
12 Galicia;2 miembros;Gasto medio por hogar;2008;25.403,96
12 Galicia;2 miembros;Gasto medio por hogar;2007;25.260,34
12 Galicia;2 miembros;Gasto medio por hogar;2006;23.983,22
12 Galicia;2 miembros;Gasto medio por persona;2019;12.868,11
12 Galicia;2 miembros;Gasto medio por persona;2018;12.572,60
12 Galicia;2 miembros;Gasto medio por persona;2017;12.959,24
12 Galicia;2 miembros;Gasto medio por persona;2016;12.153,61
12 Galicia;2 miembros;Gasto medio por persona;2015;12.277,83
12 Galicia;2 miembros;Gasto medio por persona;2014;12.442,98
12 Galicia;2 miembros;Gasto medio por persona;2013;11.824,28
12 Galicia;2 miembros;Gasto medio por persona;2012;11.869,95
12 Galicia;2 miembros;Gasto medio por persona;2011;12.714,54
12 Galicia;2 miembros;Gasto medio por persona;2010;12.515,85
12 Galicia;2 miembros;Gasto medio por persona;2009;12.706,12
12 Galicia;2 miembros;Gasto medio por persona;2008;12.701,98
12 Galicia;2 miembros;Gasto medio por persona;2007;12.630,17
12 Galicia;2 miembros;Gasto medio por persona;2006;11.991,61
12 Galicia;2 miembros;Gasto medio por unidad de consumo;2019;17.184,61
12 Galicia;2 miembros;Gasto medio por unidad de consumo;2018;16.785,19
12 Galicia;2 miembros;Gasto medio por unidad de consumo;2017;17.323,96
12 Galicia;2 miembros;Gasto medio por unidad de consumo;2016;16.284,49
12 Galicia;2 miembros;Gasto medio por unidad de consumo;2015;16.405,35
12 Galicia;2 miembros;Gasto medio por unidad de consumo;2014;16.616,36
12 Galicia;2 miembros;Gasto medio por unidad de consumo;2013;15.796,77
12 Galicia;2 miembros;Gasto medio por unidad de consumo;2012;15.853,66
12 Galicia;2 miembros;Gasto medio por unidad de consumo;2011;16.981,23
12 Galicia;2 miembros;Gasto medio por unidad de consumo;2010;16.734,12
12 Galicia;2 miembros;Gasto medio por unidad de consumo;2009;16.970,70
12 Galicia;2 miembros;Gasto medio por unidad de consumo;2008;16.954,58
12 Galicia;2 miembros;Gasto medio por unidad de consumo;2007;16.863,89
12 Galicia;2 miembros;Gasto medio por unidad de consumo;2006;16.023,23
12 Galicia;2 miembros;Índice sobre la media del gmp;2019;117,13
12 Galicia;2 miembros;Índice sobre la media del gmp;2018;113,08
12 Galicia;2 miembros;Índice sobre la media del gmp;2017;118,48
12 Galicia;2 miembros;Índice sobre la media del gmp;2016;114,59
12 Galicia;2 miembros;Índice sobre la media del gmp;2015;116,16
12 Galicia;2 miembros;Índice sobre la media del gmp;2014;120,91
12 Galicia;2 miembros;Índice sobre la media del gmp;2013;115,43
12 Galicia;2 miembros;Índice sobre la media del gmp;2012;112,56
12 Galicia;2 miembros;Índice sobre la media del gmp;2011;117,76
12 Galicia;2 miembros;Índice sobre la media del gmp;2010;117,20
12 Galicia;2 miembros;Índice sobre la media del gmp;2009;117,43
12 Galicia;2 miembros;Índice sobre la media del gmp;2008;114,91
12 Galicia;2 miembros;Índice sobre la media del gmp;2007;120,56
12 Galicia;2 miembros;Índice sobre la media del gmp;2006;118,84
12 Galicia;3 miembros;Gasto total;2019;7.498.905,04
12 Galicia;3 miembros;Gasto total;2018;7.431.717,68
12 Galicia;3 miembros;Gasto total;2017;7.396.583,05
12 Galicia;3 miembros;Gasto total;2016;7.204.835,51
12 Galicia;3 miembros;Gasto total;2015;7.293.181,27
12 Galicia;3 miembros;Gasto total;2014;7.242.067,49
12 Galicia;3 miembros;Gasto total;2013;7.291.106,69
12 Galicia;3 miembros;Gasto total;2012;7.609.803,19
12 Galicia;3 miembros;Gasto total;2011;8.056.515,45
12 Galicia;3 miembros;Gasto total;2010;7.915.803,77
12 Galicia;3 miembros;Gasto total;2009;7.631.461,30
12 Galicia;3 miembros;Gasto total;2008;7.300.545,17
12 Galicia;3 miembros;Gasto total;2007;6.973.032,16
12 Galicia;3 miembros;Gasto total;2006;6.816.002,94
12 Galicia;3 miembros;Distribución porcentual;2019;25,50
12 Galicia;3 miembros;Distribución porcentual;2018;24,96
12 Galicia;3 miembros;Distribución porcentual;2017;25,17
12 Galicia;3 miembros;Distribución porcentual;2016;25,20
12 Galicia;3 miembros;Distribución porcentual;2015;25,50
12 Galicia;3 miembros;Distribución porcentual;2014;25,90
12 Galicia;3 miembros;Distribución porcentual;2013;26,05
12 Galicia;3 miembros;Distribución porcentual;2012;26,30
12 Galicia;3 miembros;Distribución porcentual;2011;27,13
12 Galicia;3 miembros;Distribución porcentual;2010;26,94
12 Galicia;3 miembros;Distribución porcentual;2009;25,65
12 Galicia;3 miembros;Distribución porcentual;2008;24,10
12 Galicia;3 miembros;Distribución porcentual;2007;24,39
12 Galicia;3 miembros;Distribución porcentual;2006;24,87
12 Galicia;3 miembros;Gasto medio por hogar;2019;31.132,45
12 Galicia;3 miembros;Gasto medio por hogar;2018;30.763,73
12 Galicia;3 miembros;Gasto medio por hogar;2017;30.559,40
12 Galicia;3 miembros;Gasto medio por hogar;2016;29.732,24
12 Galicia;3 miembros;Gasto medio por hogar;2015;30.022,33
12 Galicia;3 miembros;Gasto medio por hogar;2014;29.741,44
12 Galicia;3 miembros;Gasto medio por hogar;2013;29.821,70
12 Galicia;3 miembros;Gasto medio por hogar;2012;30.979,40
12 Galicia;3 miembros;Gasto medio por hogar;2011;32.909,93
12 Galicia;3 miembros;Gasto medio por hogar;2010;32.923,90
12 Galicia;3 miembros;Gasto medio por hogar;2009;32.366,26
12 Galicia;3 miembros;Gasto medio por hogar;2008;31.659,36
12 Galicia;3 miembros;Gasto medio por hogar;2007;30.975,49
12 Galicia;3 miembros;Gasto medio por hogar;2006;31.036,96
12 Galicia;3 miembros;Gasto medio por persona;2019;10.377,48
12 Galicia;3 miembros;Gasto medio por persona;2018;10.254,58
12 Galicia;3 miembros;Gasto medio por persona;2017;10.186,47
12 Galicia;3 miembros;Gasto medio por persona;2016;9.910,75
12 Galicia;3 miembros;Gasto medio por persona;2015;10.007,44
12 Galicia;3 miembros;Gasto medio por persona;2014;9.913,81
12 Galicia;3 miembros;Gasto medio por persona;2013;9.940,57
12 Galicia;3 miembros;Gasto medio por persona;2012;10.326,47
12 Galicia;3 miembros;Gasto medio por persona;2011;10.969,98
12 Galicia;3 miembros;Gasto medio por persona;2010;10.974,63
12 Galicia;3 miembros;Gasto medio por persona;2009;10.788,75
12 Galicia;3 miembros;Gasto medio por persona;2008;10.553,12
12 Galicia;3 miembros;Gasto medio por persona;2007;10.325,16
12 Galicia;3 miembros;Gasto medio por persona;2006;10.345,65
12 Galicia;3 miembros;Gasto medio por unidad de consumo;2019;16.014,66
12 Galicia;3 miembros;Gasto medio por unidad de consumo;2018;15.925,92
12 Galicia;3 miembros;Gasto medio por unidad de consumo;2017;15.874,59
12 Galicia;3 miembros;Gasto medio por unidad de consumo;2016;15.361,86
12 Galicia;3 miembros;Gasto medio por unidad de consumo;2015;15.455,51
12 Galicia;3 miembros;Gasto medio por unidad de consumo;2014;15.373,29
12 Galicia;3 miembros;Gasto medio por unidad de consumo;2013;15.394,08
12 Galicia;3 miembros;Gasto medio por unidad de consumo;2012;16.039,81
12 Galicia;3 miembros;Gasto medio por unidad de consumo;2011;17.013,30
12 Galicia;3 miembros;Gasto medio por unidad de consumo;2010;17.067,40
12 Galicia;3 miembros;Gasto medio por unidad de consumo;2009;16.741,47
12 Galicia;3 miembros;Gasto medio por unidad de consumo;2008;16.329,03
12 Galicia;3 miembros;Gasto medio por unidad de consumo;2007;16.002,62
12 Galicia;3 miembros;Gasto medio por unidad de consumo;2006;15.945,73
12 Galicia;3 miembros;Índice sobre la media del gmp;2019;94,46
12 Galicia;3 miembros;Índice sobre la media del gmp;2018;92,23
12 Galicia;3 miembros;Índice sobre la media del gmp;2017;93,13
12 Galicia;3 miembros;Índice sobre la media del gmp;2016;93,45
12 Galicia;3 miembros;Índice sobre la media del gmp;2015;94,68
12 Galicia;3 miembros;Índice sobre la media del gmp;2014;96,33
12 Galicia;3 miembros;Índice sobre la media del gmp;2013;97,04
12 Galicia;3 miembros;Índice sobre la media del gmp;2012;97,92
12 Galicia;3 miembros;Índice sobre la media del gmp;2011;101,60
12 Galicia;3 miembros;Índice sobre la media del gmp;2010;102,77
12 Galicia;3 miembros;Índice sobre la media del gmp;2009;99,71
12 Galicia;3 miembros;Índice sobre la media del gmp;2008;95,47
12 Galicia;3 miembros;Índice sobre la media del gmp;2007;98,56
12 Galicia;3 miembros;Índice sobre la media del gmp;2006;102,53
12 Galicia;4 y más;Gasto total;2019;8.273.962,03
12 Galicia;4 y más;Gasto total;2018;9.163.199,09
12 Galicia;4 y más;Gasto total;2017;8.647.178,94
12 Galicia;4 y más;Gasto total;2016;8.776.342,38
12 Galicia;4 y más;Gasto total;2015;9.118.095,11
12 Galicia;4 y más;Gasto total;2014;8.412.346,08
12 Galicia;4 y más;Gasto total;2013;8.649.084,64
12 Galicia;4 y más;Gasto total;2012;9.692.754,02
12 Galicia;4 y más;Gasto total;2011;10.095.167,70
12 Galicia;4 y más;Gasto total;2010;10.483.876,51
12 Galicia;4 y más;Gasto total;2009;11.230.174,19
12 Galicia;4 y más;Gasto total;2008;12.155.510,70
12 Galicia;4 y más;Gasto total;2007;11.594.789,46
12 Galicia;4 y más;Gasto total;2006;11.647.745,23
12 Galicia;4 y más;Distribución porcentual;2019;28,13
12 Galicia;4 y más;Distribución porcentual;2018;30,78
12 Galicia;4 y más;Distribución porcentual;2017;29,43
12 Galicia;4 y más;Distribución porcentual;2016;30,70
12 Galicia;4 y más;Distribución porcentual;2015;31,88
12 Galicia;4 y más;Distribución porcentual;2014;30,09
12 Galicia;4 y más;Distribución porcentual;2013;30,91
12 Galicia;4 y más;Distribución porcentual;2012;33,49
12 Galicia;4 y más;Distribución porcentual;2011;33,99
12 Galicia;4 y más;Distribución porcentual;2010;35,68
12 Galicia;4 y más;Distribución porcentual;2009;37,75
12 Galicia;4 y más;Distribución porcentual;2008;40,12
12 Galicia;4 y más;Distribución porcentual;2007;40,56
12 Galicia;4 y más;Distribución porcentual;2006;42,50
12 Galicia;4 y más;Gasto medio por hogar;2019;36.801,26
12 Galicia;4 y más;Gasto medio por hogar;2018;40.550,20
12 Galicia;4 y más;Gasto medio por hogar;2017;37.888,13
12 Galicia;4 y más;Gasto medio por hogar;2016;37.854,35
12 Galicia;4 y más;Gasto medio por hogar;2015;38.530,20
12 Galicia;4 y más;Gasto medio por hogar;2014;35.050,19
12 Galicia;4 y más;Gasto medio por hogar;2013;35.168,49
12 Galicia;4 y más;Gasto medio por hogar;2012;38.361,85
12 Galicia;4 y más;Gasto medio por hogar;2011;38.926,38
12 Galicia;4 y más;Gasto medio por hogar;2010;39.352,34
12 Galicia;4 y más;Gasto medio por hogar;2009;41.105,68
12 Galicia;4 y más;Gasto medio por hogar;2008;43.540,52
12 Galicia;4 y más;Gasto medio por hogar;2007;40.746,84
12 Galicia;4 y más;Gasto medio por hogar;2006;40.190,07
12 Galicia;4 y más;Gasto medio por persona;2019;8.416,81
12 Galicia;4 y más;Gasto medio por persona;2018;9.249,07
12 Galicia;4 y más;Gasto medio por persona;2017;8.634,75
12 Galicia;4 y más;Gasto medio por persona;2016;8.609,71
12 Galicia;4 y más;Gasto medio por persona;2015;8.744,41
12 Galicia;4 y más;Gasto medio por persona;2014;7.938,69
12 Galicia;4 y más;Gasto medio por persona;2013;7.943,82
12 Galicia;4 y más;Gasto medio por persona;2012;8.639,67
12 Galicia;4 y más;Gasto medio por persona;2011;8.736,54
12 Galicia;4 y más;Gasto medio por persona;2010;8.773,38
12 Galicia;4 y más;Gasto medio por persona;2009;9.104,84
12 Galicia;4 y más;Gasto medio por persona;2008;9.583,74
12 Galicia;4 y más;Gasto medio por persona;2007;8.914,16
12 Galicia;4 y más;Gasto medio por persona;2006;8.739,60
12 Galicia;4 y más;Gasto medio por unidad de consumo;2019;14.731,76
12 Galicia;4 y más;Gasto medio por unidad de consumo;2018;16.138,25
12 Galicia;4 y más;Gasto medio por unidad de consumo;2017;14.966,42
12 Galicia;4 y más;Gasto medio por unidad de consumo;2016;14.963,35
12 Galicia;4 y más;Gasto medio por unidad de consumo;2015;15.281,87
12 Galicia;4 y más;Gasto medio por unidad de consumo;2014;13.811,84
12 Galicia;4 y más;Gasto medio por unidad de consumo;2013;13.829,31
12 Galicia;4 y más;Gasto medio por unidad de consumo;2012;15.021,93
12 Galicia;4 y más;Gasto medio por unidad de consumo;2011;15.163,14
12 Galicia;4 y más;Gasto medio por unidad de consumo;2010;15.160,94
12 Galicia;4 y más;Gasto medio por unidad de consumo;2009;15.745,89
12 Galicia;4 y más;Gasto medio por unidad de consumo;2008;16.591,54
12 Galicia;4 y más;Gasto medio por unidad de consumo;2007;15.397,48
12 Galicia;4 y más;Gasto medio por unidad de consumo;2006;15.130,99
12 Galicia;4 y más;Índice sobre la media del gmp;2019;76,61
12 Galicia;4 y más;Índice sobre la media del gmp;2018;83,19
12 Galicia;4 y más;Índice sobre la media del gmp;2017;78,94
12 Galicia;4 y más;Índice sobre la media del gmp;2016;81,18
12 Galicia;4 y más;Índice sobre la media del gmp;2015;82,73
12 Galicia;4 y más;Índice sobre la media del gmp;2014;77,14
12 Galicia;4 y más;Índice sobre la media del gmp;2013;77,55
12 Galicia;4 y más;Índice sobre la media del gmp;2012;81,92
12 Galicia;4 y más;Índice sobre la media del gmp;2011;80,92
12 Galicia;4 y más;Índice sobre la media del gmp;2010;82,16
12 Galicia;4 y más;Índice sobre la media del gmp;2009;84,15
12 Galicia;4 y más;Índice sobre la media del gmp;2008;86,70
12 Galicia;4 y más;Índice sobre la media del gmp;2007;85,09
12 Galicia;4 y más;Índice sobre la media del gmp;2006;86,61
13 Madrid, Comunidad de;Total;Gasto total;2019;94.442.150,46
13 Madrid, Comunidad de;Total;Gasto total;2018;91.259.132,63
13 Madrid, Comunidad de;Total;Gasto total;2017;88.025.500,97
13 Madrid, Comunidad de;Total;Gasto total;2016;83.943.534,29
13 Madrid, Comunidad de;Total;Gasto total;2015;80.326.629,51
13 Madrid, Comunidad de;Total;Gasto total;2014;79.254.795,19
13 Madrid, Comunidad de;Total;Gasto total;2013;81.364.565,97
13 Madrid, Comunidad de;Total;Gasto total;2012;86.283.571,49
13 Madrid, Comunidad de;Total;Gasto total;2011;86.801.805,83
13 Madrid, Comunidad de;Total;Gasto total;2010;84.263.609,37
13 Madrid, Comunidad de;Total;Gasto total;2009;83.654.768,45
13 Madrid, Comunidad de;Total;Gasto total;2008;86.729.823,37
13 Madrid, Comunidad de;Total;Gasto total;2007;83.545.876,59
